run_name,params_json,win,drop,sf,dil,tf,lr,wd,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
win2p0_drop0p25_sf64_dil1m2m4m8_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4, 8]",32,0.001,0.001,164636,8,0.5,0.5,0.375
win3p0_drop0p25_sf32_dil1m2m4_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf32_dil1m2m4_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win3p0_drop0p25_sf32_dil1m2m4m8_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4, 8]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf32_dil1m2m4m8_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4, 8]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win3p0_drop0p25_sf64_dil1m2m4_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf64_dil1m2m4_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win3p0_drop0p25_sf64_dil1m2m4m8_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4, 8]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf64_dil1m2m4m8_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4, 8]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win3p0_drop0p25_sf32_dil1m2m4_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf32_dil1m2m4_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4]",32,0.001,0.001,164636,18,0.59375,0.59375,0.5771724598930481
win3p0_drop0p25_sf32_dil1m2m4m8_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4, 8]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf32_dil1m2m4m8_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,32,"[1, 2, 4, 8]",32,0.001,0.001,164636,15,0.5625,0.5625,0.5628851540616246
win3p0_drop0p25_sf64_dil1m2m4_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf64_dil1m2m4_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4]",32,0.001,0.001,164636,35,0.8125,0.8125,0.8125
win3p0_drop0p25_sf64_dil1m2m4m8_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4, 8]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win3p0_drop0p25_sf64_dil1m2m4m8_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":3.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",3.0,0.25,64,"[1, 2, 4, 8]",32,0.001,0.001,164636,23,0.75,0.75,0.7222222222222222
